



     ==============================================================================
     |                                                                            |
     |                                                                            |
     |             _____ ___ ____  ____   _    ____ _____    ___ ___              |
     |            |  ___|_ _/ ___||  _ \ / \  / ___|_   _|  |_ _|_ _|             |
     |            | |_   | |\___ \| |_) / _ \| |     | |_____| | | |              |
     |            |  _|  | | ___) |  __/ ___ \ |___  | |_____| | | |              |
     |            |_|   |___|____/|_| /_/   \_\____| |_|    |___|___|             |
     |                                                                            |
     |                            F I S P A C T - I I                             |
     |                            -------------------                             |
     |                                                                            |
     |                  Transmutation-Activation Inventory Code                   |
     |                   United Kingdom Atomic Energy Authority                   |
     |                                                                            |
     |                         Release 5.0 May 2021                               |
     |             Copyright (c) 2009-21, UK Atomic Energy Authority              |
     |                                                                            |
     ==============================================================================



1




     =========================================================================================================
     |                                                                                                       |
     |                      R U N   I D E N T I F I C A T I O N   I N F O R M A T I O N                      |
     |                                                                                                       |
     | INITIAL CROSS SECTION DATA                                                                            |
     | Collapsed library timestamp: 15:07:54 19 March 2021                                                   |
     | EAF source library label:    EAF-2010 66Gp THE EUROPEAN ACTIV                                         |
     | FLUX file label:             PQY PALUEL 14000 MWD/Te WIMS TOT                                         |
     |                                                                                                       |
     | DECAY DATA                                                                                            |
     | Condensed library timestamp: 15:07:54 19 March 2021                                                   |
     | EAF source library label:                                                                             |
     |                                                                                                       |
     | THIS RUN                                                                                              |
     | timestamp:                   15:07:54 19 March 2021                                                   |
     | fileroot :                   collapse                                                                 |
     | name of FILES file:          files                                                                    |
     | FISPACT title:               * COLLAPSE 066_99 WITH PWR DEAN.GP                                       |
     |                                                                                                       |
     | See the collapse.log file                                                                             |
     | and summary details at the end of this file for further information on files used by this run         |
     |                                                                                                       |
     =========================================================================================================


1                    C O L L A P S E D    C R O S S     S E C T I O N S     I N     B A R N S 

          NOTE: The diagnostic cross-sections for dpa (n,D--) and for kerma (n,K--) reactions are given in barns-eV.

          The cross section for the specified reaction is given in barns, followed by the error in percent.

    parent reaction  daughter cross section   +-error            parent reaction  daughter cross section   +-error
    H   1  (n,g    )  H   2   2.72687E-02+- 1.07827E+01          H   2  (n,2n   )  H   1   1.87825E-03+- 1.20000E+01
    H   2  (n,g    )  H   3   4.44868E-05+- 1.55331E+01          H   3  (n,2n   )  H   2   3.30852E-05+- 2.00000E+01
    He  3  (n,g    )  He  4   2.30403E-05+- 4.03919E+01          He  3  (n,p    )  H   3   4.36276E+02+- 5.00000E+01
    He  3  (n,d    )  H   2   9.91240E-04+- 2.00000E+01          Li  6  (n,2na  )  H   1   4.82240E-04+- 2.00000E+02
    Li  6  (n,nd   )  He  4   3.96578E-02+- 6.00000E+01          Li  6  (n,g    )  Li  7   3.17374E-03+- 1.10225E+01
    Li  6  (n,p    )  He  6   1.38950E-03+- 2.00000E+01          Li  6  (n,t    )  He  4   7.75457E+01+- 1.00000E+01
    Li  7  (n,2n   )  Li  6   8.20400E-06+- 2.00000E+01          Li  7  (n,na   )  H   3   7.40343E-03+- 1.00000E+02
    Li  7  (n,g    )  Li  8   3.73538E-03+- 9.59467E+00          Li  7  (n,d    )  He  6   1.62175E-07+- 6.00000E+01
    Be  7  (n,np   )  Li  6   1.13574E-03+- 1.00000E+02          Be  7  (n,g    )  Be  8   3.10794E-03+- 3.34663E+02
    Be  7  (n,p    )  Li  7   3.16040E+03+- 4.99901E+01          Be  7  (n,d    )  Li  6   5.62598E-03+- 1.00000E+02
    Be  7  (n,a    )  He  4   2.60107E-02+- 3.46185E+01          Be  7  (n,2p   )  He  6   4.43748E-08+- 2.00000E+02
    Be  9  (n,2n   )  Be  8   4.04961E-02+- 1.00000E+01          Be  9  (n,g    )  Be 10   6.22817E-04+- 1.07503E+01
    Be  9  (n,a    )  He  6   1.16223E-02+- 3.00000E+01          Be 10  (n,2n   )  Be  9   1.97094E-04+- 4.00000E+01
    Be 10  (n,3n   )  Be  8   1.58922E-07+- 8.00000E+01          Be 10  (n,na   )  He  6   8.33581E-06+- 1.00000E+02
    Be 10  (n,g    )  Be 11   8.87731E-05+- 4.72523E+01          B  10  (n,na   )  Li  6   6.76697E-04+- 1.00000E+02
    B  10  (n,np   )  Be  9   4.25542E-05+- 1.00000E+02          B  10  (n,nd   )  Be  8   9.90162E-05+- 6.00000E+01
    B  10  (n,2np  )  Be  8   1.42101E-06+- 2.00000E+02          B  10  (n,g    )  B  11   4.11276E-02+- 5.46990E+01
    B  10  (n,p    )  Be 10   4.02624E-03+- 4.32461E+01          B  10  (n,d    )  Be  9   3.61338E-04+- 5.00000E+01
    B  10  (n,t    )  Be  8   1.90911E-02+- 4.89913E+01          B  10  (n,a    )  Li  7   3.15450E+02+- 1.99950E+01
    B  11  (n,na   )  Li  7   2.67350E-07+- 1.00000E+02          B  11  (n,g    )  B  12   4.64286E-04+- 5.01460E+01
    B  11  (n,d    )  Be 10   7.11263E-10+- 1.00000E+02          B  11  (n,a    )  Li  8   8.07383E-06+- 1.00000E+01
    C  12  (n,na   )  Be  8   2.02505E-06+- 1.00000E+02          C  12  (n,n2a  )  He  4   3.86901E-05+- 2.00000E+02
    C  12  (n,g    )  C  13   3.00168E-04+- 1.37840E+01          C  12  (n,a    )  Be  9   4.86533E-04+- 2.00000E+01
    C  13  (n,2n   )  C  12   2.73893E-04+- 4.00000E+01          C  13  (n,g    )  C  14   1.93389E-04+- 3.29432E+01
    C  13  (n,a    )  Be 10   3.46532E-05+- 6.00000E+01          C  14  (n,2n   )  C  13   3.85710E-09+- 4.00000E+01
    C  14  (n,g    )  C  15   3.35817E-06+- 5.03506E+01          N  14  (n,np   )  C  13   2.82899E-05+- 1.00000E+02
    N  14  (n,g    )  N  15   6.20937E-03+- 1.41897E+01          N  14  (n,p    )  C  14   1.65659E-01+- 2.00000E+01
    N  14  (n,d    )  C  13   2.41251E-04+- 1.00000E+02          N  14  (n,t    )  C  12   3.40311E-04+- 3.93013E+01
    N  14  (n,a    )  B  11   2.77010E-02+- 1.50000E+01          N  15  (n,g    )  N  16   9.91583E-06+- 7.96776E+01
    N  15  (n,p    )  C  15   1.41171E-08+- 3.00000E+01          N  15  (n,d    )  C  14   3.53598E-07+- 1.00000E+02
    N  15  (n,a    )  B  12   1.00888E-06+- 6.00000E+01          O  16  (n,g    )  O  17   5.89963E-05+- 3.73621E+01
    O  16  (n,a    )  C  13   3.97586E-03+- 2.00000E+01          O  17  (n,2n   )  O  16   3.10943E-04+- 4.00000E+01
    O  17  (n,na   )  C  13   1.50759E-05+- 1.00000E+02          O  17  (n,g    )  O  18   1.20528E-04+- 7.07235E+01
    O  17  (n,p    )  N  17   7.25805E-07+- 4.00000E+01          O  17  (n,t    )  N  15   1.45384E-06+- 6.00000E+01
    O  17  (n,a    )  C  14   4.48827E-02+- 3.60000E+01          O  18  (n,2n   )  O  17   5.37167E-05+- 4.00000E+01
    O  18  (n,na   )  C  14   1.24807E-05+- 1.00000E+02          O  18  (n,g    )  O  19   4.29599E-05+- 1.50837E+01
    O  18  (n,a    )  C  15   1.09658E-05+- 3.00000E+01          F  19  (n,na   )  N  15   1.52976E-03+- 1.00000E+02
    F  19  (n,np   )  O  18   2.32314E-07+- 1.00000E+02          F  19  (n,g    )  F  20   1.64946E-03+- 1.23337E+01
    F  19  (n,p    )  O  19   4.41603E-04+- 1.50000E+01          F  19  (n,d    )  O  18   2.32485E-05+- 2.00000E+02
    F  19  (n,t    )  O  17   2.05674E-06+- 6.00000E+01          F  19  (n,a    )  N  16   5.26617E-03+- 2.00000E+01
    Ne 20  (n,na   )  O  16   8.66407E-06+- 1.00000E+02          Ne 20  (n,g    )  Ne 21   3.04981E-03+- 2.35795E+01
    Ne 20  (n,p    )  F  20   2.12860E-04+- 5.00000E+01          Ne 20  (n,a    )  O  17   1.64846E-02+- 3.00000E+01
    Ne 20  (n,2a   )  C  13   1.17547E-12+- 2.00000E+02          Ne 21  (n,2n   )  Ne 20   1.86575E-04+- 4.00000E+01
    Ne 21  (n,na   )  O  17   1.18701E-06+- 1.00000E+02          Ne 21  (n,g    )  Ne 22   5.46210E-02+- 1.10328E+01
    Ne 21  (n,p    )  F  21   3.62234E-04+- 5.00000E+01          Ne 21  (n,a    )  O  18   1.30122E-01+- 9.44662E+01
    Ne 21  (n,2a   )  C  14   1.46509E-06+- 2.00000E+02          Ne 22  (n,g    )  Ne 23   3.75171E-03+- 1.91800E+01
    Ne 22  (n,a    )  O  19   1.47736E-05+- 6.00000E+01          Na 22  (n,np   )  Ne 21   1.46403E-04+- 1.00000E+02
    Na 22  (n,g    )  Na 23   2.11699E+01+- 3.26023E+01          Na 22  (n,p    )  Ne 22   2.41953E+03+- 2.99957E+01
    Na 22  (n,d    )  Ne 21   1.18529E-04+- 1.00000E+02          Na 22  (n,t    )  Ne 20   2.76854E-05+- 6.00000E+01
    Na 22  (n,a    )  F  19   2.19835E+01+- 2.98780E+01          Na 22  (n,2a   )  N  15   2.28371E-04+- 2.00000E+02
    Na 22  (n,pa   )  O  18   3.32923E-09+- 2.00000E+02          Na 23  (n,np   )  Ne 22   4.28467E-06+- 1.00000E+02
