



     ==============================================================================
     |                                                                            |
     |                            F I S P A C T - I I                             |
     |                            -------------------                             |
     |                                                                            |
     |                  Transmutation-Activation Inventory Code                   |
     |                   United Kingdom Atomic Energy Authority                   |
     |                                    and                                     |
     |                      Culham Electromagnetics Limited                       |
     |                                                                            |
     |                           Release 3.20 December 2016                       |
     |                   Authors: James Eastwood and Guy Morgan                   |
     |           Copyright (c) 2009-16, UK Atomic Energy Authority and            |
     |                      Culham Electromagnetics Limited.                      |
     |                                                                            |
     ==============================================================================

     ------------------------------------------------------------------------------
     Source CVS Tag: $Name:  $
     ------------------------------------------------------------------------------



1




     =========================================================================================================
     |                                                                                                       |
     |                      R U N   I D E N T I F I C A T I O N   I N F O R M A T I O N                      |
     |                                                                                                       |
     | INITIAL CROSS SECTION DATA                                                                            |
     | Collapsed library timestamp: 10:05:11 30 August 2017                                                  |
     | EAF source library label:                                                                             |
     | FLUX file label:             FBR-Na End of Cycle heavy fuel s                                         |
     |                                                                                                       |
     | DECAY DATA                                                                                            |
     | Condensed library timestamp: 10:05:16 30 August 2017                                                  |
     | EAF source library label:    Decay input from separate files                                          |
     |                                                                                                       |
     | THIS RUN                                                                                              |
     | timestamp:                   10:05:22 30 August 2017                                                  |
     | fileroot :                   printlib                                                                 |
     | name of FILES file:          files                                                                    |
     | FISPACT title:               * TENDL gxs-162 : alpha 1 MeV - 200 MeV                                  |
     |                                                                                                       |
     | See the printlib.log file                                                                             |
     | and summary details at the end of this file for further information on files used by this run         |
     |                                                                                                       |
     =========================================================================================================


1                                              P E R C E N T A G E     B R A N C H I N G     R A T I O S 

   H   3   (b-)   He  3  1.000E+02       H   4    (n)   H   3  1.000E+02       H   5   (2n)   H   3  1.000E+02       H   6    (n)   H   5  5.000E+01
   H   6   (3n)   H   3  5.000E+01       H   7   (2n)   H   5  1.000E+02       He  5    (n)   He  4  1.000E+02       He  6   (b-)   Li  6  1.000E+02
   He  7    (n)   He  6  1.000E+02       He  8   (b-)   Li  8  8.800E+01       He  8  (b-n)   Li  7  1.200E+01       He  9    (n)   He  8  1.000E+02
   He 10   (2n)   He  8  1.000E+02       Li  4    (p)   He  3  1.000E+02       Li  5    (p)   He  4  1.000E+02       Li  8  (b-a)   He  4  1.000E+02
   Li  9   (b-)   Be  9  5.050E+01       Li  9  (b-n)   Be  8  4.950E+01       Li 10    (n)   Li  9  1.000E+02       Li 11   (b-)   Be 11  9.100E+00
   Li 11  (b-n)   Be 10  8.490E+01       Li 11 (b-2n)   Be  9  4.100E+00       Li 11 (b-3n)   Be  8  1.900E+00       Li 12    (n)   Li 11  1.000E+02
   Be  5    (p)   Li  4  1.000E+02       Be  6   (pp)   He  4  1.000E+02       Be  7   (b+)   Li  7  1.000E+02       Be  8    (a)   He  4  1.000E+02
   Be 10   (b-)   B  10  1.000E+02       Be 11   (b-)   B  11  9.700E+01       Be 11  (b-a)   Li  7  3.000E+00       Be 12   (b-)   B  12  1.000E+02
   Be 13    (n)   Be 12  1.000E+02       Be 14   (b-)   B  14  1.561E-15       Be 14  (b-n)   B  13  9.800E+01       Be 14 (b-2n)   B  12  1.800E+00
   Be 14 (b-3n)   B  11  2.000E-01       Be 15    (n)   Be 14  1.000E+02       Be 16   (2n)   Be 14  1.000E+02       B   6   (pp)   Li  4  1.000E+02
   B   7    (p)   Be  6  1.000E+02       B   8  (b+a)   He  4  1.000E+02       B   9    (p)   Be  8  1.000E+02       B  12   (b-)   C  12  9.842E+01
   B  12  (b-a)   Be  8  1.580E+00       B  13   (b-)   C  13  9.972E+01       B  13  (b-n)   C  12  2.760E-01       B  14   (b-)   C  14  1.000E+02
   B  15   (b-)   C  15  6.000E+00       B  15  (b-n)   C  14  9.360E+01       B  15 (b-2n)   C  13  4.000E-01       B  16    (n)   B  15  1.000E+02
   B  17   (b-)   C  17  2.250E+01       B  17  (b-n)   C  16  6.300E+01       B  17 (b-2n)   C  15  1.100E+01       B  17 (b-3n)   C  14  3.500E+00
   B  18    (n)   B  17  1.000E+02       B  19  (b-n)   C  18  7.500E+01       B  19 (b-2n)   C  17  2.500E+01       C   8   (pp)   Be  6  1.000E+02
   C   9   (b+)   B   9  6.000E+01       C   9  (b+p)   Be  8  2.300E+01       C   9  (b+a)   Li  5  1.700E+01       C  10   (b+)   B  10  1.000E+02
   C  11   (b+)   B  11  1.000E+02       C  14   (b-)   N  14  1.000E+02       C  15   (b-)   N  15  1.000E+02       C  16   (b-)   N  16  2.100E+00
   C  16  (b-n)   N  15  9.790E+01       C  17   (b-)   N  17  7.160E+01       C  17  (b-n)   N  16  2.840E+01       C  18   (b-)   N  18  6.850E+01
   C  18  (b-n)   N  17  3.150E+01       C  19   (b-)   N  19  4.600E+01       C  19  (b-n)   N  18  4.700E+01       C  19 (b-2n)   N  17  7.000E+00
   C  20   (b-)   N  20  2.800E+01       C  20  (b-n)   N  19  7.200E+01       C  21    (n)   C  20  1.000E+02       C  22   (b-)   N  22  1.000E+00
   C  22  (b-n)   N  21  9.900E+01       N  10    (p)   C   9  1.000E+02       N  11    (p)   C  10  1.000E+02       N  12   (b+)   C  12  1.000E+02
   N  13   (b+)   C  13  1.000E+02       N  16   (b-)   O  16  1.000E+02       N  16  (b-a)   C  12  1.200E-03       N  17   (b-)   O  17  5.000E+00
   N  17  (b-n)   O  16  9.500E+01       N  17  (b-a)   C  13  2.500E-03       N  18   (b-)   O  18  1.000E+02       N  19   (b-)   O  19  4.540E+01
   N  19  (b-n)   O  18  5.460E+01       N  20   (b-)   O  20  4.300E+01       N  20  (b-n)   O  19  5.700E+01       N  21   (b-)   O  21  1.900E+01
   N  21  (b-n)   O  20  8.100E+01       N  22   (b-)   O  22  6.500E+01       N  22  (b-n)   O  21  3.500E+01       N  23   (b-)   O  23  2.000E+01
   N  23  (b-n)   O  22  8.000E+01       N  24    (n)   N  23  1.000E+02       N  25    (n)   N  24  5.000E+01       N  25   (2n)   N  23  5.000E+01
