



     ==============================================================================
     |                                                                            |
     |                                                                            |
     |             _____ ___ ____  ____   _    ____ _____    ___ ___              |
     |            |  ___|_ _/ ___||  _ \ / \  / ___|_   _|  |_ _|_ _|             |
     |            | |_   | |\___ \| |_) / _ \| |     | |_____| | | |              |
     |            |  _|  | | ___) |  __/ ___ \ |___  | |_____| | | |              |
     |            |_|   |___|____/|_| /_/   \_\____| |_|    |___|___|             |
     |                                                                            |
     |                            F I S P A C T - I I                             |
     |                            -------------------                             |
     |                                                                            |
     |                  Transmutation-Activation Inventory Code                   |
     |                   United Kingdom Atomic Energy Authority                   |
     |                                                                            |
     |                         Release 5.0 May 2021                               |
     |             Copyright (c) 2009-21, UK Atomic Energy Authority              |
     |                                                                            |
     ==============================================================================



1




     =========================================================================================================
     |                                                                                                       |
     |                      R U N   I D E N T I F I C A T I O N   I N F O R M A T I O N                      |
     |                                                                                                       |
     | INITIAL CROSS SECTION DATA                                                                            |
     | Collapsed library timestamp: 14:38:12 19 March 2021                                                   |
     | EAF source library label:    EAF-2010 315Gp THE EUROPEAN ACTI                                         |
     | FLUX file label:             CHAMBRE FW. TRIPOLI 315 TOT=1.02                                         |
     |                                                                                                       |
     | DECAY DATA                                                                                            |
     | Condensed library timestamp: 14:38:12 19 March 2021                                                   |
     | EAF source library label:                                                                             |
     |                                                                                                       |
     | THIS RUN                                                                                              |
     | timestamp:                   14:38:12 19 March 2021                                                   |
     | fileroot :                   collapse                                                                 |
     | name of FILES file:          files                                                                    |
     | FISPACT title:               * COLLAPSE 315FUS_99 WITH FW INERTIAL                                    |
     |                                                                                                       |
     | See the collapse.log file                                                                             |
     | and summary details at the end of this file for further information on files used by this run         |
     |                                                                                                       |
     =========================================================================================================


1                    C O L L A P S E D    C R O S S     S E C T I O N S     I N     B A R N S 

          NOTE: The diagnostic cross-sections for dpa (n,D--) and for kerma (n,K--) reactions are given in barns-eV.

          The cross section for the specified reaction is given in barns, followed by the error in percent.

    parent reaction  daughter cross section   +-error            parent reaction  daughter cross section   +-error
    H   1  (n,g    )  H   2   5.07832E-03+- 1.02333E+01          H   2  (n,2n   )  H   1   6.39349E-02+- 1.20000E+01
    H   2  (n,g    )  H   3   1.39941E-05+- 1.18767E+01          H   3  (n,2n   )  H   2   1.65598E-02+- 2.00000E+01
    H   3  (n,3n   )  H   1   6.17881E-04+- 8.00000E+01          He  3  (n,g    )  He  4   3.06210E-05+- 4.85977E+01
    He  3  (n,p    )  H   3   8.11246E+01+- 5.00000E+01          He  3  (n,d    )  H   2   2.79860E-02+- 2.00000E+01
    Li  6  (n,2na  )  H   1   2.80538E-02+- 2.00000E+02          Li  6  (n,nd   )  He  4   1.76625E-01+- 6.00000E+01
    Li  6  (n,g    )  Li  7   6.27005E-04+- 1.12184E+01          Li  6  (n,p    )  He  6   3.98331E-03+- 2.00000E+01
    Li  6  (n,t    )  He  4   1.45485E+01+- 1.00000E+01          Li  7  (n,2n   )  Li  6   1.93219E-02+- 2.00000E+01
    Li  7  (n,na   )  H   3   1.21364E-01+- 1.00000E+02          Li  7  (n,2na  )  H   2   6.58870E-03+- 2.00000E+02
    Li  7  (n,np   )  He  6   6.92451E-04+- 1.00000E+02          Li  7  (n,g    )  Li  8   6.97347E-04+- 8.45172E+00
    Li  7  (n,d    )  He  6   3.32277E-03+- 6.00000E+01          Be  7  (n,np   )  Li  6   3.59894E-02+- 1.00000E+02
    Be  7  (n,g    )  Be  8   1.45083E-03+- 1.63818E+02          Be  7  (n,p    )  Li  7   5.82325E+02+- 4.99579E+01
    Be  7  (n,d    )  Li  6   4.22027E-02+- 1.00000E+02          Be  7  (n,a    )  He  4   2.11974E-01+- 5.93951E+01
    Be  7  (n,2p   )  He  6   2.94601E-03+- 2.00000E+02          Be  9  (n,2n   )  Be  8   2.19966E-01+- 1.00000E+01
    Be  9  (n,g    )  Be 10   1.19452E-04+- 9.71813E+00          Be  9  (n,t    )  Li  7   5.86834E-03+- 1.00000E+01
    Be  9  (n,a    )  He  6   1.44838E-02+- 3.00000E+01          Be 10  (n,2n   )  Be  9   9.66783E-02+- 4.00000E+01
    Be 10  (n,3n   )  Be  8   5.31553E-02+- 8.00000E+01          Be 10  (n,na   )  He  6   5.60266E-03+- 1.00000E+02
    Be 10  (n,g    )  Be 11   2.45787E-05+- 3.58597E+01          B  10  (n,na   )  Li  6   4.84380E-02+- 1.00000E+02
    B  10  (n,np   )  Be  9   5.26179E-03+- 1.00000E+02          B  10  (n,nd   )  Be  8   2.99250E-02+- 6.00000E+01
    B  10  (n,2np  )  Be  8   7.04424E-03+- 2.00000E+02          B  10  (n,g    )  B  11   7.66499E-03+- 5.53235E+01
    B  10  (n,p    )  Be 10   1.62777E-02+- 4.96740E+01          B  10  (n,d    )  Be  9   9.57340E-03+- 5.00000E+01
    B  10  (n,t    )  Be  8   5.48494E-02+- 4.99348E+01          B  10  (n,a    )  Li  7   5.86785E+01+- 1.99713E+01
    B  10  (n,ta   )  He  4   5.37410E-07+- 2.00000E+02          B  11  (n,2n   )  B  10   5.67096E-03+- 4.00000E+01
    B  11  (n,na   )  Li  7   1.46613E-02+- 1.00000E+02          B  11  (n,np   )  Be 10   4.55541E-04+- 1.00000E+02
    B  11  (n,nt   )  Be  8   2.44985E-04+- 2.00000E+02          B  11  (n,g    )  B  12   8.94526E-05+- 4.09498E+01
    B  11  (n,p    )  Be 11   1.76574E-03+- 2.00000E+01          B  11  (n,d    )  Be 10   3.05611E-03+- 1.00000E+02
    B  11  (n,t    )  Be  9   4.79548E-03+- 5.00000E+01          B  11  (n,a    )  Li  8   1.10523E-02+- 1.00000E+01
    C  12  (n,na   )  Be  8   2.38314E-03+- 1.00000E+02          C  12  (n,n2a  )  He  4   4.09365E-02+- 2.00000E+02
    C  12  (n,g    )  C  13   1.11582E-04+- 2.63092E+01          C  12  (n,p    )  B  12   1.09589E-04+- 1.00000E+01
    C  12  (n,a    )  Be  9   2.82524E-02+- 2.00000E+01          C  13  (n,2n   )  C  12   9.34246E-02+- 4.00000E+01
    C  13  (n,na   )  Be  9   2.76154E-03+- 1.00000E+02          C  13  (n,2na  )  Be  8   4.55462E-06+- 2.00000E+02
    C  13  (n,2n2a )  He  4   6.57898E-09+- 2.00000E+02          C  13  (n,g    )  C  14   6.82270E-05+- 4.35677E+01
    C  13  (n,p    )  B  13   2.62141E-03+- 5.00000E+01          C  13  (n,t    )  B  11   1.99766E-03+- 4.00000E+01
    C  13  (n,a    )  Be 10   5.84207E-03+- 6.00000E+01          C  13  (n,2a   )  He  6   4.94397E-10+- 2.00000E+02
    C  14  (n,2n   )  C  13   9.89889E-03+- 4.00000E+01          C  14  (n,3n   )  C  12   2.94174E-10+- 8.00000E+01
    C  14  (n,na   )  Be 10   1.00321E-06+- 1.00000E+02          C  14  (n,g    )  C  15   6.19931E-06+- 4.46350E+01
    C  14  (n,a    )  Be 11   1.51511E-04+- 6.00000E+01          N  14  (n,2n   )  N  13   1.83714E-03+- 1.00000E+01
    N  14  (n,na   )  B  10   2.18851E-04+- 1.00000E+02          N  14  (n,np   )  C  13   8.61191E-02+- 1.00000E+02
    N  14  (n,nd   )  C  12   1.59600E-05+- 6.00000E+01          N  14  (n,2np  )  C  12   1.12417E-06+- 2.00000E+02
    N  14  (n,g    )  N  15   1.19938E-03+- 2.33760E+01          N  14  (n,p    )  C  14   5.92927E-02+- 2.00000E+01
    N  14  (n,d    )  C  13   2.87719E-02+- 1.00000E+02          N  14  (n,t    )  C  12   1.08129E-02+- 5.60974E+01
    N  14  (n,a    )  B  11   5.63561E-02+- 1.50000E+01          N  14  (n,2a   )  Li  7   1.11533E-02+- 2.00000E+02
    N  14  (n,pa   )  Be 10   8.15855E-07+- 2.00000E+02          N  15  (n,2n   )  N  14   5.18212E-02+- 4.00000E+01
    N  15  (n,na   )  B  11   4.51632E-03+- 1.00000E+02          N  15  (n,np   )  C  14   1.89352E-02+- 1.00000E+02
    N  15  (n,g    )  N  16   1.28971E-05+- 6.96434E+01          N  15  (n,p    )  C  15   6.69559E-03+- 3.00000E+01
    N  15  (n,d    )  C  14   3.45893E-03+- 1.00000E+02          N  15  (n,t    )  C  13   4.95735E-03+- 6.00000E+01
    N  15  (n,a    )  B  12   8.47787E-03+- 6.00000E+01          O  16  (n,na   )  C  12   1.10454E-03+- 1.00000E+02
    O  16  (n,np   )  N  15   6.36107E-05+- 1.00000E+02          O  16  (n,g    )  O  17   1.08609E-04+- 8.11540E+01
    O  16  (n,p    )  N  16   1.55932E-02+- 1.00000E+01          O  16  (n,d    )  N  15   4.83368E-03+- 5.00000E+01
    O  16  (n,a    )  C  13   5.82417E-02+- 2.00000E+01          O  17  (n,2n   )  O  16   1.19231E-01+- 4.00000E+01
    O  17  (n,na   )  C  13   6.60854E-02+- 1.00000E+02          O  17  (n,2na  )  C  12   1.52372E-05+- 2.00000E+02
    O  17  (n,g    )  O  18   1.58336E-04+- 8.46322E+01          O  17  (n,p    )  N  17   7.01960E-03+- 4.00000E+01
    O  17  (n,d    )  N  16   2.95125E-04+- 1.00000E+02          O  17  (n,t    )  N  15   4.29608E-03+- 6.00000E+01
